"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CBI","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_IF","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2015,"MUNICIPIO",260000,244,0,0,163,81,7,2,28,14,30,195,30,13,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260005,716,0,0,82,634,47,88,202,112,185,390,324,28,0,21,21,0,0,0,3,0,0,18,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260010,283,0,0,17,266,12,32,89,40,93,130,153,18,0,6,6,0,0,0,0,0,0,5,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260020,103,0,0,11,92,3,9,21,4,55,51,52,6,0,2,2,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260030,205,0,0,36,169,5,24,44,29,67,114,91,8,0,3,3,0,0,0,1,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260040,195,0,0,23,172,16,21,70,25,40,112,83,11,0,6,6,0,0,0,1,0,0,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260050,352,0,2,42,310,16,23,76,56,139,204,148,12,0,11,11,0,0,0,2,0,0,7,1,8,0,0,0,2,0,2,2,1,0,1,0,0,0
2015,"MUNICIPIO",260060,116,0,0,13,103,4,13,42,15,29,68,48,3,0,4,4,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260070,267,0,1,32,235,18,30,80,28,79,148,118,17,0,9,8,1,0,0,4,0,0,3,0,10,0,0,0,1,0,1,1,0,0,0,1,0,0
2015,"MUNICIPIO",260080,210,0,0,29,181,3,28,64,34,52,111,99,8,0,2,2,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260090,125,0,0,16,109,4,19,43,15,28,72,53,8,0,8,8,0,0,0,1,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260100,84,0,0,11,73,2,9,22,11,29,44,40,2,0,1,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260105,108,0,0,17,91,6,12,37,15,21,57,51,7,0,3,2,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260110,499,0,1,105,394,21,64,124,41,144,300,199,28,0,26,26,0,0,0,5,0,0,19,0,27,0,0,0,2,0,2,2,0,1,0,1,0,0
2015,"MUNICIPIO",260120,584,0,2,57,527,35,76,141,65,210,333,251,27,0,15,14,1,0,0,3,0,0,12,0,11,0,0,1,0,2,1,1,0,0,0,0,0,1
2015,"MUNICIPIO",260130,97,0,0,20,77,0,14,33,7,23,62,35,4,0,3,3,0,0,0,2,0,0,1,0,4,0,0,0,1,0,1,0,0,0,0,0,0,0
2015,"MUNICIPIO",260140,313,0,0,41,272,13,36,118,21,84,179,134,15,0,11,10,1,0,0,0,1,0,10,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260150,83,0,0,6,77,4,6,26,11,30,45,38,6,0,2,2,0,0,0,1,0,0,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260160,122,0,0,18,104,5,17,37,13,32,68,54,3,0,4,4,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260170,693,0,0,78,615,18,76,174,75,272,380,313,26,0,20,18,2,0,0,7,0,0,13,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260180,83,0,0,9,74,1,14,29,8,22,46,37,7,0,5,5,0,0,0,1,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260190,580,0,0,74,506,18,53,164,85,186,341,239,19,0,11,11,0,0,0,7,0,0,4,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260200,205,0,0,18,187,14,27,51,41,54,113,92,10,0,12,11,1,0,0,1,0,0,11,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260210,321,0,0,30,291,14,42,95,42,98,180,141,15,0,6,6,0,0,0,2,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260220,285,0,0,36,249,10,42,105,41,51,173,111,13,0,7,7,0,0,0,4,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260230,264,0,0,24,240,6,16,54,36,128,146,118,10,0,9,8,1,0,0,2,0,0,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260240,59,0,1,6,53,4,10,8,11,20,27,32,7,0,3,3,0,0,0,1,0,0,2,0,6,0,0,0,1,0,1,1,0,1,0,0,0,0
2015,"MUNICIPIO",260250,58,0,0,9,49,1,13,17,2,16,29,29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260260,347,0,1,56,291,16,53,100,32,90,208,139,20,0,14,12,2,0,1,8,0,0,6,0,18,1,1,0,1,0,3,3,0,0,2,0,0,0
2015,"MUNICIPIO",260270,84,0,0,7,77,3,15,22,11,26,43,41,7,0,5,5,0,0,0,1,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260280,300,0,2,23,277,10,40,89,28,110,177,123,15,0,11,11,0,0,1,1,0,0,10,0,4,1,0,0,2,0,3,3,0,0,0,1,1,0
2015,"MUNICIPIO",260290,1233,0,3,244,989,90,161,312,150,276,731,501,78,0,42,39,3,0,1,5,3,0,30,0,47,1,0,1,1,0,3,2,0,0,1,2,0,0
2015,"MUNICIPIO",260300,182,0,0,27,155,5,30,57,20,43,105,77,11,0,10,9,1,0,0,0,0,0,7,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260310,162,0,0,13,149,8,26,55,19,41,91,71,6,0,1,1,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260320,160,0,0,30,130,5,29,48,11,37,91,69,9,0,4,4,0,0,0,2,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260330,68,0,0,10,58,4,7,23,6,18,39,29,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,1,1,0,0,0,0,0,0
2015,"MUNICIPIO",260340,63,0,0,13,50,1,6,17,5,21,36,27,2,0,2,2,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260345,1048,0,0,127,921,54,162,305,181,219,576,472,54,0,28,26,2,0,0,8,0,0,20,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260350,158,0,1,27,131,1,15,51,13,51,95,63,10,0,3,3,0,0,0,2,0,0,1,0,6,0,0,0,1,0,1,1,0,0,0,1,0,0
2015,"MUNICIPIO",260360,72,0,0,9,63,2,10,25,6,20,35,37,4,0,1,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260370,180,0,0,30,150,9,26,48,15,52,109,71,7,0,8,8,0,0,0,1,1,0,6,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260380,138,0,1,16,122,4,21,40,15,42,77,61,5,0,7,7,0,0,0,2,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260390,126,0,0,12,114,16,18,34,9,37,59,67,5,0,2,2,0,0,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260392,72,0,1,11,61,5,8,26,5,17,40,32,7,0,2,2,0,0,0,0,0,0,0,2,4,0,0,0,1,0,1,1,0,1,0,0,0,0
2015,"MUNICIPIO",260400,535,0,1,69,466,18,60,157,76,155,312,223,29,0,13,13,0,0,0,3,0,0,10,0,18,0,0,1,0,0,1,1,0,0,0,1,0,0
2015,"MUNICIPIO",260410,2446,0,4,350,2096,67,344,678,339,668,1377,1068,132,0,66,61,5,0,0,19,1,0,43,0,116,0,1,0,2,2,3,3,0,1,0,2,0,0
2015,"MUNICIPIO",260415,81,0,0,5,76,2,14,27,10,23,47,34,4,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260420,268,0,0,25,243,23,35,86,34,65,148,120,15,0,4,3,1,0,0,1,0,0,3,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260430,57,0,1,6,51,3,8,20,8,12,27,30,6,0,3,3,0,0,0,0,0,0,3,0,6,0,0,0,1,0,1,1,0,0,1,0,0,0
2015,"MUNICIPIO",260440,71,0,0,4,67,0,8,27,13,19,51,20,3,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260450,138,0,0,14,124,2,28,46,16,32,75,63,9,0,3,3,0,0,0,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260460,183,0,1,26,157,5,23,55,30,44,110,73,10,0,6,5,1,0,1,0,0,0,6,0,3,1,0,0,0,0,1,1,0,0,1,0,0,0
2015,"MUNICIPIO",260470,125,0,0,10,115,8,15,46,16,30,66,59,6,0,3,3,0,0,0,1,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260480,85,0,0,10,75,1,11,33,9,21,45,40,7,0,3,3,0,0,0,1,0,0,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260490,122,0,0,19,103,1,14,35,22,31,69,53,2,0,1,0,1,0,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260500,218,0,1,36,182,8,15,54,22,83,127,91,9,0,7,6,1,0,0,1,1,0,5,0,9,0,0,0,1,0,1,1,0,0,0,1,0,0
2015,"MUNICIPIO",260510,306,0,0,19,287,26,42,87,30,102,177,129,10,0,10,10,0,0,0,1,0,0,8,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260515,92,0,0,10,82,6,13,35,5,23,46,46,7,0,3,3,0,0,0,2,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260520,490,0,0,99,391,35,53,102,46,155,295,195,24,0,20,19,1,0,1,4,1,0,15,0,22,1,0,0,0,0,1,0,0,1,0,0,0,0
2015,"MUNICIPIO",260530,195,0,0,27,168,5,32,54,21,56,109,86,6,0,5,5,0,0,0,0,0,1,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260540,193,0,0,21,172,8,20,68,26,50,109,84,5,0,1,1,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260545,3,0,0,0,3,0,0,1,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260550,67,0,0,9,58,3,7,20,6,22,43,24,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260560,143,0,0,17,126,7,14,60,15,30,73,70,4,0,2,2,0,0,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260570,181,0,2,33,148,2,30,52,13,51,92,89,15,0,9,8,1,0,0,1,0,0,7,1,5,0,0,0,2,1,2,2,0,0,2,0,0,0
2015,"MUNICIPIO",260580,131,0,0,8,123,3,22,44,10,44,67,64,3,0,4,4,0,0,1,2,0,0,2,0,5,1,0,0,0,0,1,0,1,0,0,0,0,0
2015,"MUNICIPIO",260590,151,0,0,14,137,12,13,49,21,42,80,71,18,0,6,4,2,0,0,2,1,0,3,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260600,929,0,0,120,809,33,122,265,109,280,511,417,39,0,33,30,3,0,0,5,0,0,23,0,36,0,0,0,0,1,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260610,174,0,0,31,143,8,24,54,14,43,102,72,9,0,6,6,0,0,0,1,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260620,540,0,0,84,456,35,58,149,77,137,300,240,38,0,20,19,1,0,0,5,0,0,14,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260630,40,0,0,7,33,2,6,13,4,8,15,25,5,0,2,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260640,617,0,2,89,528,29,83,167,85,164,351,266,34,0,13,13,0,0,0,2,0,0,11,0,39,0,0,0,2,0,2,2,0,1,1,0,0,0
2015,"MUNICIPIO",260650,124,0,0,16,108,0,14,41,19,34,65,59,3,0,6,6,0,0,1,1,0,0,5,0,4,1,0,0,0,0,1,0,1,0,0,0,0,0
2015,"MUNICIPIO",260660,163,0,0,15,148,7,19,37,14,71,90,73,4,0,8,8,0,0,0,2,0,0,5,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0
2015,"MUNICIPIO",260670,58,0,0,4,54,1,6,15,13,19,41,17,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260680,661,0,1,113,548,37,100,191,89,131,405,255,33,0,21,20,1,0,0,1,0,0,19,0,22,0,0,0,1,0,1,1,0,0,0,1,0,0
2015,"MUNICIPIO",260690,86,0,0,5,81,3,19,34,3,22,39,47,7,0,2,2,0,0,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260700,99,0,0,14,85,4,15,36,4,26,57,42,5,0,1,1,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260710,29,0,0,1,28,1,3,9,4,11,16,13,2,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260720,460,0,0,98,362,27,50,131,52,102,280,180,20,0,19,19,0,0,0,2,0,0,17,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260730,172,0,1,19,153,5,29,43,19,57,95,77,11,0,12,12,0,0,0,2,0,0,7,0,10,0,1,0,0,0,1,1,0,1,0,0,0,0
2015,"MUNICIPIO",260740,28,0,0,3,25,3,4,8,2,8,19,9,1,0,2,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260750,182,0,0,26,156,4,19,56,21,56,108,73,4,0,10,9,1,0,0,3,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260760,114,0,0,25,89,6,10,32,11,30,60,54,8,0,3,3,0,0,0,0,0,0,2,0,11,0,0,0,1,0,1,1,0,0,0,0,0,0
2015,"MUNICIPIO",260765,229,0,1,35,194,9,19,91,23,52,117,112,9,0,7,6,1,0,0,2,0,0,5,0,4,0,0,0,1,0,1,1,0,0,1,0,0,0
2015,"MUNICIPIO",260770,108,0,0,9,99,4,21,35,10,29,54,54,6,0,1,0,1,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260775,146,0,1,23,123,11,17,47,18,30,83,63,10,0,4,4,0,0,1,0,0,0,4,0,7,1,0,0,0,0,1,1,0,0,1,0,0,0
2015,"MUNICIPIO",260780,116,0,0,15,101,6,13,40,14,28,59,57,4,0,4,4,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260790,4045,0,5,587,3458,238,619,1108,547,946,2208,1832,248,0,137,130,7,0,4,22,4,0,105,0,98,4,0,0,1,1,5,4,0,0,3,1,0,0
2015,"MUNICIPIO",260795,66,0,0,7,59,4,9,18,4,24,36,30,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",260800,141,0,0,17,124,3,11,56,15,39,86,55,4,0,5,5,0,0,0,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
